date,revenue
2026-01-01,30000.0
2026-01-01,20000.0
2026-01-01,23000.0
2026-01-01,60000.0
2026-01-01,5000.0
2026-01-01,5700.0
2026-01-01,8000.0
2026-01-01,40000.0
2026-01-01,10000.0
2026-01-01,22000.0
2026-01-01,28500.0
2026-01-01,24000.0
2026-01-01,19000.0
2026-01-01,22000.0
2026-01-01,40000.0
2026-01-01,5000.0
2026-01-01,5000.0
2026-01-01,48000.0
2026-01-01,22000.0
2026-01-01,16000.0
2026-01-01,14250.0
2026-01-01,23000.0
2026-01-01,12000.0
2026-01-01,5000.0
2026-01-01,25650.0
2026-01-01,22000.0
2026-01-01,22000.0
2026-01-01,23750.0
2026-01-01,12000.0
2026-01-01,5000.0
2026-01-01,22000.0
2026-01-01,50000.0
2026-01-01,22000.0
2026-01-01,15000.0
2026-01-01,54000.0
2026-01-01,23000.0
2026-01-01,48000.0
2026-01-01,30000.0
2026-01-01,54000.0
2026-01-01,27000.0
2026-01-01,20000.0
2026-01-01,20900.0
2026-01-01,81000.0
2026-01-01,30000.0
2026-01-01,20000.0
2026-01-01,25000.0
2026-01-01,6000.0
2026-01-01,23000.0
2026-01-01,12000.0
2026-01-01,6000.0
2026-01-01,6000.0
2026-01-01,5000.0
2026-01-01,75000.0
2026-01-01,6000.0
2026-01-01,6000.0
2026-01-01,15000.0
2026-01-01,6000.0
2026-01-01,54000.0
2026-01-01,15200.0
2026-01-01,12000.0
2026-01-01,5700.0
2026-01-01,20000.0
2026-01-01,27000.0
2026-01-01,66000.0
2026-01-01,25000.0
2026-01-01,24000.0
2026-01-01,20000.0
2026-01-01,6000.0
2026-01-01,27000.0
2026-01-01,27000.0
2026-01-01,12000.0
2026-01-01,23000.0
2026-01-01,66000.0
2026-01-01,54000.0
2026-01-01,6000.0
2026-01-01,23000.0
2026-01-01,50000.0
2026-01-01,12000.0
2026-01-01,44000.0
2026-01-01,15000.0
2026-01-01,69000.0
2026-01-01,27000.0
2026-01-01,36000.0
2026-01-01,27000.0
2026-01-01,8000.0
2026-01-01,80000.0
2026-01-01,24000.0
2026-01-01,5000.0
2026-01-01,10000.0
2026-01-01,12000.0
2026-01-01,8000.0
2026-01-01,20000.0
2026-01-01,15000.0
2026-01-01,20000.0
2026-01-01,5000.0
2026-01-01,23000.0
2026-01-01,5000.0
2026-01-01,12000.0
2026-01-01,23000.0
2026-01-01,25000.0
2026-01-01,11400.0
2026-01-01,27000.0
2026-01-01,15000.0
2026-01-01,23750.0
2026-01-01,6000.0
2026-01-01,22800.0
2026-01-01,5000.0
2026-01-01,92000.0
2026-01-01,30000.0
2026-01-01,22800.0
2026-01-01,10000.0
2026-01-01,18000.0
2026-01-01,45600.0
2026-01-01,23000.0
2026-01-01,22000.0
2026-01-01,24000.0
2026-01-01,81000.0
2026-01-01,12000.0
2026-01-01,11400.0
2026-01-01,10000.0
2026-01-01,6000.0
2026-01-01,62700.0
2026-01-01,15000.0
2026-01-01,46000.0
2026-01-01,12000.0
2026-01-01,15000.0
2026-01-01,6000.0
2026-01-01,10000.0
2026-01-01,8000.0
2026-01-01,6000.0
2026-01-01,20000.0
2026-01-01,18000.0
2026-01-01,23000.0
2026-01-01,40000.0
2026-01-01,10000.0
2026-01-01,10000.0
2026-01-01,25650.0
2026-01-01,69000.0
2026-01-01,48000.0
2026-01-01,24000.0
2026-01-01,91200.0
2026-01-01,36000.0
2026-01-01,46000.0
2026-01-01,11400.0
2026-01-01,40000.0
2026-01-01,19000.0
2026-01-01,24000.0
2026-01-01,30000.0
2026-01-01,5000.0
2026-01-01,8000.0
2026-01-01,23000.0
2026-01-01,24000.0
2026-01-01,23750.0
2026-01-01,16000.0
2026-01-01,50000.0
2026-01-01,23000.0
2026-01-01,75000.0
2026-01-01,10000.0
2026-01-01,5000.0
2026-01-01,25000.0
2026-01-01,30000.0
2026-01-01,23000.0
2026-01-01,15000.0
2026-01-01,10000.0
2026-01-01,16000.0
2026-01-01,24000.0
2026-01-01,23000.0
2026-01-01,20000.0
2026-01-01,15000.0
2026-01-01,8000.0
2026-01-01,6000.0
2026-01-01,7600.0
2026-01-01,11400.0
2026-01-01,6000.0
2026-01-01,25650.0
2026-01-01,16000.0
2026-01-01,20000.0
2026-01-01,27000.0
2026-01-01,6000.0
2026-01-01,12000.0
2026-01-01,8000.0
2026-01-01,12000.0
2026-01-01,20000.0
2026-01-01,45000.0
2026-01-01,12000.0
2026-01-01,5000.0
2026-01-01,22000.0
2026-01-01,5000.0
2026-01-01,22800.0
2026-01-01,14250.0
2026-01-01,15000.0
2026-01-01,48000.0
2026-01-01,96000.0
2026-01-01,20000.0
2026-01-01,27000.0
2026-01-01,15000.0
2026-01-01,24000.0
2026-01-01,44000.0
2026-01-01,5700.0
2026-01-01,5000.0
2026-01-01,10000.0
2026-01-01,46000.0
2026-01-01,20000.0
2026-01-01,11400.0
2026-01-01,27000.0
2026-01-01,6000.0
2026-01-01,30000.0
2026-01-01,16000.0
2026-01-01,24000.0
2026-01-01,15000.0
2026-01-01,45000.0
2026-01-01,6000.0
2026-01-01,24000.0
2026-01-01,6000.0
2026-01-01,24000.0
2026-01-01,24000.0
2026-01-01,12000.0
2026-01-01,6000.0
2026-01-01,28500.0
2026-01-01,16000.0
2026-01-01,24000.0
2026-01-01,20000.0
